"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"1961","Cyprus","Deaths - total","6,206",""
"1961","Cyprus","Natural change of population","8,853",""
"1961","Cyprus","Net migration plus statistical adjustment","-6,519",""
"1961","Latvia","Population on 1 January - total ","2,137,830",""
"1961","Latvia","Live births - total","35,993",""
"1961","Latvia","Deaths - total","21,759",""
"1961","Latvia","Natural change of population","14,234",""
"1961","Latvia","Net migration plus statistical adjustment","15,467",""
"1961","Lithuania","Population on 1 January - total ","2,801,500",""
"1961","Lithuania","Live births - total","62,775",""
"1961","Lithuania","Deaths - total","22,365",""
"1961","Lithuania","Natural change of population","40,410",""
"1961","Lithuania","Net migration plus statistical adjustment","3,690",""
"1961","Luxembourg","Population on 1 January - total ","314,889",""
"1961","Luxembourg","Live births - total","5,112",""
"1961","Luxembourg","Deaths - total","3,616",""
"1961","Luxembourg","Natural change of population","1,496",""
"1961","Luxembourg","Net migration plus statistical adjustment","2,415",""
"1961","Hungary","Population on 1 January - total ","10,006,889",""
"1961","Hungary","Live births - total","140,365",""
"1961","Hungary","Deaths - total","96,410",""
"1961","Hungary","Natural change of population","43,955",""
"1961","Hungary","Net migration plus statistical adjustment","909",""
"1961","Malta","Population on 1 January - total ","325,900",""
"1961","Malta","Live births - total","7,674",""
"1961","Malta","Deaths - total","2,937",""
"1961","Malta","Natural change of population","4,737",""
"1961","Malta","Net migration plus statistical adjustment","-6,037",""
"1961","Netherlands","Population on 1 January - total ","11,556,008",""
"1961","Netherlands","Live births - total","247,407",""
"1961","Netherlands","Deaths - total","87,923",""
"1961","Netherlands","Natural change of population","159,484",""
"1961","Netherlands","Net migration plus statistical adjustment","5,924",""
"1961","Austria","Population on 1 January - total ","7,064,693",""
"1961","Austria","Live births - total","131,563",""
"1961","Austria","Deaths - total","85,673",""
"1961","Austria","Natural change of population","45,890",""
"1961","Austria","Net migration plus statistical adjustment","-2,679",""
"1961","Poland","Population on 1 January - total ","29,795,000",""
"1961","Poland","Live births - total","627,624",""
"1961","Poland","Deaths - total","227,759",""
"1961","Poland","Natural change of population","399,865",""
"1961","Poland","Net migration plus statistical adjustment","-61,865",""
"1961","Portugal","Population on 1 January - total ","8,889,392",""
"1961","Portugal","Live births - total","217,516",""
"1961","Portugal","Deaths - total","99,590",""
"1961","Portugal","Natural change of population","117,926",""
"1961","Portugal","Net migration plus statistical adjustment","-38,078",""
"1961","Romania","Population on 1 January - total ","18,494,600",""
"1961","Romania","Live births - total","324,859",""
"1961","Romania","Deaths - total","161,936",""
"1961","Romania","Natural change of population","162,923",""
"1961","Romania","Net migration plus statistical adjustment","-41,623",""
"1961","Slovenia","Population on 1 January - total ","1,588,904",""
"1961","Slovenia","Live births - total","28,955",""
